"taxon","donor_id","target_id","donor_ug","target_ug","threshold_admix","threshold_zone","threshold_used","donor","target","W_j","T_obs","T_pred","T_ci_lower","T_ci_upper","prob_allowed","allowed_obs","allowed_boot","is_neighbor","n_donor","n_target","too_small","state_obs","state_boot","fst_sig","Nboot"
"ACH.AGG",8,4,"UG 08","UG 04",0.0157919338528995,0.0213456149024095,0.0157919338528995,"08","04",0.133568124183465,-0.0104550162894897,-0.0107800133593843,-0.0229352178858913,-0.000874813298380798,1,TRUE,TRUE,FALSE,18,54,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",9,4,"UG 09","UG 04",0.0157919338528995,0.0213456149024095,0.0157919338528995,"09","04",0.133568124183465,0.0256349391634778,0.0251841818225814,0.0147838328376823,0.0353965502453923,0.04,FALSE,FALSE,FALSE,35,54,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",10,4,"UG 10","UG 04",0.0157919338528995,0.0213456149024095,0.0157919338528995,"10","04",0.133568124183465,0.0333925494133095,0.0330665675453356,0.0188030657107006,0.0468402091196931,0,FALSE,FALSE,FALSE,23,54,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",11,4,"UG 11","UG 04",0.0157919338528995,0.0213456149024095,0.0157919338528995,"11","04",0.133568124183465,0.0288694527092997,0.0292845485947716,0.0173059130160849,0.0404947019501513,0,FALSE,FALSE,FALSE,46,54,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",12,4,"UG 12","UG 04",0.0157919338528995,0.0213456149024095,0.0157919338528995,"12","04",0.133568124183465,0.0149315016683957,0.0143406652604559,0.000256613889743406,0.028039715117513,0.55,TRUE,TRUE,FALSE,24,54,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",13,4,"UG 13","UG 04",0.0157919338528995,0.0213456149024095,0.0157919338528995,"13","04",0.133568124183465,0.0328263837485037,0.0312301246254752,0.0179267247160684,0.0453491318717827,0.02,FALSE,FALSE,FALSE,26,54,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",14,4,"UG 14","UG 04",0.0157919338528995,0.0213456149024095,0.0157919338528995,"14","04",0.133568124183465,0.0164109962220559,0.0163663182186176,0.00584802693049316,0.0263753526813117,0.44,FALSE,FALSE,FALSE,38,54,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",15,4,"UG 15","UG 04",0.0157919338528995,0.0213456149024095,0.0157919338528995,"15","04",0.133568124183465,-0.00265035618871967,-0.00200591198695031,-0.0110141955663918,0.00774936420398476,1,TRUE,TRUE,FALSE,22,54,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",16,4,"UG 16","UG 04",0.0157919338528995,0.0213456149024095,0.0157919338528995,"16","04",0.133568124183465,0.0269788118259319,0.0285458167923849,0.0116028478507458,0.0414974764157323,0.08,FALSE,FALSE,FALSE,31,54,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",17,4,"UG 17","UG 04",0.0157919338528995,0.0213456149024095,0.0157919338528995,"17","04",0.133568124183465,0.0349742119345498,0.0345556031645693,0.0237910781555172,0.0480807312969961,0,FALSE,FALSE,FALSE,36,54,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",18,4,"UG 18","UG 04",0.0157919338528995,0.0213456149024095,0.0157919338528995,"18","04",0.133568124183465,0.0228227959963122,0.0223407157114785,0.00990584758225687,0.0388554796623385,0.17,FALSE,FALSE,FALSE,23,54,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",19,4,"UG 19","UG 04",0.0157919338528995,0.0213456149024095,0.0157919338528995,"19","04",0.133568124183465,0.013585324858291,0.0122075466460863,0.00285307457982671,0.0228091739446366,0.76,TRUE,TRUE,FALSE,36,54,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",20,4,"UG 20","UG 04",0.0157919338528995,0.0213456149024095,0.0157919338528995,"20","04",0.133568124183465,-0.0030115789826092,-0.00434364328038139,-0.0135015965497611,0.00742690940460331,1,TRUE,TRUE,TRUE,31,54,FALSE,"allowed","allowed",TRUE,100
"ACH.AGG",21,4,"UG 21","UG 04",0.0157919338528995,0.0213456149024095,0.0157919338528995,"21","04",0.133568124183465,0.0143421673245633,0.0127799055767221,0.000186021085664577,0.0240736676072716,0.7,TRUE,TRUE,FALSE,16,54,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",22,4,"UG 22","UG 04",0.0157919338528995,0.0213456149024095,0.0157919338528995,"22","04",0.133568124183465,0.00965792097266452,0.0107833818414391,-0.00424845560715931,0.0284515937061622,0.73,TRUE,TRUE,TRUE,14,54,FALSE,"allowed","allowed",TRUE,100
